slno,rul
0,18
1,79
2,106
3,110
4,15
5,155
6,6
7,90
8,11
9,79
10,6
11,73
12,30
13,11
14,37
15,67
16,68
17,99
18,22
19,54
20,97
21,10
22,142
23,77
24,88
25,163
26,126
27,138
28,83
29,78
30,75
31,11
32,53
33,173
34,63
35,100
36,151
37,55
38,48
39,37
40,44
41,27
42,18
43,6
44,15
45,112
46,131
47,13
48,122
49,13
50,98
51,53
52,52
53,106
54,103
55,152
56,123
57,26
58,178
59,73
60,169
61,39
62,39
63,14
64,11
65,121
66,86
67,56
68,115
69,17
70,148
71,104
72,78
73,86
74,98
75,36
76,94
77,52
78,91
79,15
80,141
81,74
82,146
83,17
84,47
85,194
86,21
87,79
88,97
89,8
90,9
91,73
92,183
93,97
94,73
95,49
96,31
97,97
98,9
99,14
100,106
101,8
102,8
103,106
104,116
105,120
106,61
107,168
108,35
109,80
110,9
111,50
112,151
113,78
114,91
115,7
116,181
117,150
118,106
119,15
120,67
121,145
122,180
123,7
124,179
125,124
126,82
127,108
128,79
129,121
130,120
131,39
132,38
133,9
134,167
135,87
136,88
137,7
138,51
139,55
140,155
141,47
142,81
143,43
144,98
145,10
146,92
147,11
148,165
149,34
150,115
151,59
152,99
153,103
154,108
155,83
156,171
157,15
158,9
159,42
160,13
161,41
162,88
163,14
164,155
165,188
166,96
167,82
168,135
169,182
170,36
171,107
172,14
173,95
174,142
175,23
176,6
177,144
178,35
179,97
180,68
181,14
182,67
183,191
184,19
185,10
186,158
187,183
188,43
189,12
190,148
191,13
192,37
193,122
194,80
195,93
196,132
197,32
198,103
199,174
200,111
201,68
202,192
203,121
204,134
205,48
206,85
207,8
208,23
209,8
210,6
211,57
212,83
213,172
214,101
215,81
216,86
217,165
218,73
219,121
220,139
221,75
222,151
223,145
224,11
225,108
226,14
227,126
228,61
229,85
230,8
231,101
232,153
233,89
234,190
235,12
236,62
237,134
238,101
239,121
240,167
241,17
242,161
243,181
244,16
245,152
246,148
247,56
248,111
249,23
250,84
251,12
252,43
253,48
254,122
255,191
256,56
257,131
258,51
